r,t,y,AnnualFixedOperatingCost
REGION,EGNGGCP02O,2039, 2.32805
REGION,EGNGGCP04O,2015, 242.46038
REGION,EGNGGCP04O,2016, 242.46038
REGION,EGNGGCP04O,2017, 242.46038
REGION,EGNGGCP04O,2018, 242.46038
REGION,EGNGGCP04O,2019, 242.46038
REGION,EGNGGCP04O,2020, 242.46038
REGION,EGNGGCP04O,2021, 230.337361
REGION,EGNGGCP04O,2022, 218.214342
REGION,EGNGGCP04O,2023, 206.091323
REGION,EGNGGCP04O,2024, 193.968304
REGION,EGNGGCP04O,2025, 181.845285
REGION,EGNGGCP04O,2026, 169.722266
REGION,EGNGGCP04O,2027, 157.599247
REGION,EGNGGCP04O,2028, 145.476228
REGION,EGNGGCP04O,2029, 133.353209
REGION,EGNGGCP04O,2030, 121.23019
REGION,EGNGGCP04O,2031, 109.107171
REGION,EGNGGCP04O,2032, 96.984152
REGION,EGNGGCP04O,2033, 84.861133
