r,t,y,AnnualVariableOperatingCost
REGION,EGCO00X00X,2032, 29.3331221518193
REGION,EGCO00X00X,2033, 2.5327536714200225e+01
REGION,EGCO00X00X,2034, 4.0037097309666876e+01
REGION,EGCO00X00X,2035, 8.5263614503367791e+01
REGION,EGCO00X00X,2036, 7.3179776789114783e+01
REGION,EGLF00I00X,2027, 4.6654354886730641e+02
REGION,EGLF00I00X,2028, 2.4851840785868148e+03
REGION,EGLF00I00X,2029, 4.5319202705018452e+03
REGION,EGLF00I00X,2030, 6.6046556640310628e+03
REGION,EGLF00I00X,2031, 1.5321828788815155e+04
REGION,EGLF00I00X,2032, 1.4665137233787731e+04
REGION,EGLF00I00X,2033, 1.3974517182233743e+04
REGION,EGLF00I00X,2034, 1.3249968634153216e+04
REGION,EGLF00I00X,2035, 1.2491491589546142e+04
REGION,EGLF00I00X,2036, 1.1655269246733043e+04
REGION,EGLF00I00X,2037, 1.0792658073288228e+04
REGION,EGLF00I00X,2038, 9.9036580692116077e+03
REGION,EGLF00I00X,2039, 8988.26923450328
REGION,EGLF00I00X,2040, 8.0464915691631159e+03
REGION,EGLF00I00X,2041, 7.6025554215046141e+03
REGION,EGLF00I00X,2042, 7.1572291110892511e+03
REGION,EGLF00I00X,2043, 6.7105126379171243e+03
REGION,EGLF00I00X,2044, 6.2624060019881654e+03
REGION,EGLF00I00X,2045, 5.8129092033024572e+03
REGION,EGLF00I00X,2046, 5.3620222418599269e+03
REGION,EGLF00I00X,2047, 4.9097451176605691e+03
REGION,EGLF00I00X,2048, 4.4560778307044366e+03
REGION,EGLF00I00X,2049, 4.0010203809914819e+03
REGION,EGLF00I00X,2050, 3.5445727685217466e+03
REGION,EGLF00I00X,2051, 3.0636099028702283e+03
REGION,EGLF00I00X,2052, 2.7741433655447654e+03
REGION,EGLF00I00X,2053, 2.4771025641433243e+03
REGION,EGLF00I00X,2054, 2.1724574560073434e+03
REGION,EGLF00I00X,2055, 1.8601779984782945e+03
REGION,EGLF00I00X,2056, 1.5629243185180919e+03
REGION,EGLF00I00X,2057, 1.2479442586688538e+03
REGION,EGLF00I00X,2058, 9.1516271228418782e+02
REGION,EGLF00I00X,2059, 5.6450457271772666e+02
